CHARACTER,CHARACTER,CHINESE,ENGLISH,RUSSIAN,SPANISH,JAPANESE,KOREAN,FRENCH,GERMAN,PORTUGUESE,THAI,INDONESIAN,VIETNAMESE
,,警觉,Vigilance,,,,,,Wachsamkeit,,,,
,,黏糊糊的蜡油,Sticky Wax,,,,,,Klebriges Wachs,,,,
,,蹒跚,Stagger,,,,,,Schwanken,,,,
,,我不是木偶,I'm Not a Puppet,,,,,,Ich bin keine Puppe,,,,
,,渐渐石化,Gradually Petrify,,,,,,Schrittweise versteinern,,,,
,,石头,Stone,,,,,,Stein,,,,
,,救救我,Help Me!,,,,,,Hilf mir!,,,,
,,大石头,Big Rock,,,,,,Großer Fels,,,,
,,尖木头,Sharp Stake,,,,,,Scharfer Pfahl,,,,
,,深土坑,The Deep Pit,,,,,,Die tiefe Grube,,,,
,,哭喊,Cry Out,,,,,,Schrei auf!,,,,
,,哭喊！,Cry Out!,,,,,,Schrei auf!!,,,,
,,哭喊！！,Cry Out!!,,,,,,Schrei auf!!!,,,,
,,哭喊！！！,Cry Out!!!,,,,,,Schrei auf!!!!,,,,
,,哭喊！！！！,Cry Out!!!!,,,,,,Schrei auf!!!!,,,,
,,未被满足之痛,Pain of Unfulfilled Desires,,,,,,Schmerz unerfüllter Wünsche,,,,
「24」,24,救救她！,Save Her!,,,,,,Rette sie!,,,,
,,蜂蜜甜酒,Honey Mead,,,,,,Honigmet,,,,
,,融蚀浆,D-Slime,,,,,,A-Schleim,,,,
,,不竭战意,Unyielding Will,,,,,,Unnachgiebiger Wille,,,,
,,不竭战意β,Unyielding Will β,,,,,,Unnachgiebiger Wille β,,,,
,,躲藏,Hide,,,,,,Verstecken,,,,
,,躲藏β,Hideβ,,,,,,Versteckenβ,,,,
,,莱克的幸运骰子,Ryker's Lucky Dice,,,,,,Rykers Glückswürfel,,,,
,,银钥共鸣,Silver Key Resonance,,,,,,Silberschlüssel-Resonanz,,,,
,,窒息,Suffocation,,,,,,Erstickung,,,,
,,枷锁：掌政官夫人,Shackles: Lady Governor,,,,,,Fesseln: Gouverneurin,,,,
,,枷锁：受刑的奴隶,Shackles: Tortured Slave,,,,,,Fesseln: Gefolterter Sklave,,,,
,,枷锁：复苏的圣女,Shackles: Divine Maiden Returns,,,,,,Fesseln: Heilige Maid kommt zurück,,,,
,,枷锁：彷徨的利刃,Shackles: Blade Adrift,,,,,,Fesseln: Treibende Klinge,,,,
,,巨人之畏,Giant's Fear,,,,,,Angst des Riesen,,,,
,,潮涌,Surging Tides,,,,,,Steigende Fluten,,,,
,,静海,Tranquil Sea,,,,,,Ruhiges Meer,,,,
,,怒涛,Raging Waves,,,,,,Tobende Wellen,,,,
,,银钥曦光,Silver Key Dawn,,,,,,Silberschlüssel-Morgendämmerung,,,,
,,银钥微光,Silver Key Gleam,,,,,,Silberschlüssel-Glanz,,,,
,,神国的虔信,Faith of the Divine Realm,,,,,,Glaube des göttlichen Reiches,,,,
,,神国的呼唤,Call of the Divine Realm,,,,,,Ruf des göttlichen Reiches,,,,
,,神国的降临,Divine Realm's Descent,,,,,,Abstieg in das göttliche Reich,,,,
,,温暖的家庭,A Warm Family,,,,,,Eine herzliche Familie,,,,
,,诚挚的朋友,Sincere Friend,,,,,,Aufrichtiger Freund,,,,
,,安定的生活,A Peaceful Life,,,,,,Ein friedliches Leben,,,,
,,天真的回礼,Innocent Return Gift,,,,,,Unschuldiges Gegengeschenk,,,,
,,畸变之心,Mutated Heart,,,,,,Mutiertes Herz,,,,
,,乌托邦帷幕,Utopian Veil,,,,,,Utopischer Schleier,,,,
,,无尽银芯宝库,Infinite Silver Vault,,,,,,Unendlicher Silbertresor,,,,
,,光锥界限,Light Cone Boundary,,,,,,Lichtkegelgrenze,,,,
,,猜疑,Suspicion,,,,,,Verdacht,,,,
,,主动约束,Active Constraint,,,,,,Aktive Einschränkung,,,,
,,理性交涉,Rational Negotiation,,,,,,Rationale Verhandlung,,,,
,,置之不理,Ignore,,,,,,Ignorieren,,,,
,,全力配合,Full Cooperation,,,,,,Vollständige Kooperation,,,,
,,暗淡的人性光辉,Glow of Humanity,,,,,,Glanz der Menschlichkeit,,,,
,,微明的人性光辉,Flicker of Humanity,,,,,,Flackern der Menschlichkeit,,,,
,,人性光辉,Humanity,,,,,,Menschlichkeit,,,,
,,闪耀的人性光辉,Radiance of Humanity,,,,,,Strahlen der Menschlichkeit,,,,
,,璀璨的人性光辉,Brilliance of Humanity,,,,,,Brillanz der Menschlichkeit,,,,
,,群星之酒,Stellar Brew,,,,,,Hervorragendes Gebräu,,,,
,,失落之美,Beauty in Loss,,,,,,Schönheit im Verlust,,,,
,,无上荣宠,Highest Honor,,,,,,Höchste Ehre,,,,
,,春之祭,Rite of Spring,,,,,,Frühlinszeremonie,,,,
,,恶童,Malignant Child,,,,,,Bösartiges Kind,,,,
,,人鱼泪珠,Siren's Tear,,,,,,Träne der Sirene,,,,
,,活性注射器,Vitality Injection,,,,,,Vitaliätsspritze,,,,
,,崭新的钱包,Brand-New Wallet,,,,,,Brandneue Geldbörse,,,,
,,精密计时器,Chronometric Device,,,,,,Chronometrisches Gerät,,,,
,,残缺面孔,Broken Visage,,,,,,Zerstörte Visage,,,,
,,快乐唱片,Joyous Record,,,,,,Fröhliche Schallplatte,,,,
,,行道之骸,Pathwalker's Remains,,,,,,Überreste des Pfadläufers,,,,
,,变色拘束服β,Shifting Straitjacket β,,,,,,Veränderliche Zwangsjacke β,,,,
,,怀表镜β,Pocketwatch Mirror β,,,,,,Taschenuhrspiegel β,,,,
,,通讯设备β,Signal Relay β,,,,,,Signalrelais β,,,,
,,重锁,Iron Lock,,,,,,Eisenschloss,,,,
,,节日祝福,Festive Benediction,,,,,,Festliche Segnung,,,,
,,弥萨格徽章,Mythag Insignia,,,,,,Mythag-Insignien,,,,
,,文明之光,Light of Civilization,,,,,,Licht der Zivilisation,,,,
,,鸽羽扇,Dove Feather Fan,,,,,,Taubenfederfächer,,,,
,,白鸦喙,Ivory Raven Beak,,,,,,Elfenbeinfarbener Rabenschnabel,,,,
,,医生手提箱,Doctor's Case,,,,,,Arztkoffer,,,,
,,失衡的天平,Tilted Scales,,,,,,Schiefe Waage,,,,
,,美丽瞬间β,Fleeting Beauty β,,,,,,Flüchtige Schönheit β,,,,
,,缠丝玛瑙,Filigree Agate,,,,,,Filigraner Achat,,,,
,,美学原理,Principles of Aesthetics,,,,,,Prinzipien der Ästhetik,,,,
,,失声唱机,Mute Jukebox,,,,,,Stumme Jukebox,,,,
,,定向罗盘,True North Compass,,,,,,Richtiger Nordkompass,,,,
,,异乡邮票夹,Foreign Stamp Album,,,,,,Fremdes Stempelalbum,,,,
,,怪蛇残蜕,Serpent's Husk,,,,,,Schlangenhülle,,,,
,,锈蚀柳叶刀,Rusty Lancet,,,,,,Rostige Lanze,,,,
,,祭司权杖,Hierophant's Staff,,,,,,Hierophantenstab,,,,
,,求知读书轮,Knowledge Wheel,,,,,,Wissensrad,,,,
,,阿尔卡纳记录,Arcana Archive,,,,,,Arcana-Archiv,,,,
,,原型电池,Proto Battery,,,,,,Protobatterie,,,,
,,在夕光里,In Twilight,,,,,,In der Dämmerung,,,,
,,我们的家,Our Home,,,,,,Unser Zuhause,,,,
,,日月轮盘,Solar Disc,,,,,,Sonnenscheibe,,,,
,,被遗忘者之血,Forsaken Blood,,,,,,Verlassenes Blut,,,,
,,无名之神的面纱,Veil of the Nameless Deity,,,,,,Schleier der namenlosen Gottheit,,,,
,,群氓之歌,Mob Song,,,,,,Mob-Lied,,,,
,,万象灵知秘仪,Gnosis Device,,,,,,Gnosis-Gerät,,,,
,,小小襁褓,Tiny Cradle,,,,,,Winzige Wiege,,,,
,,沉重画框,Gilded Frame,,,,,,Vergoldeter Rahmen,,,,
,,蛊惑风铃,Enthralling Chime,,,,,,Fesselnder Glockenschlag,,,,
,,古怪钩爪,Eerie Hook,,,,,,Unheimlicher Haken,,,,
,,厄运仪式鸟,Omen Ritual Bird,,,,,,Omen-Ritualvogel,,,,
,,诡术礼帽,Trickster's Hat,,,,,,Tricksterhut,,,,
,,黑烛,Black Candle,,,,,,Schwarze Kerze,,,,
,,时灵摆·眼,Chrono Pendulum: Eye,,,,,,Chronopendel: Auge,,,,
,,时灵摆·羽翼,Chrono Pendulum: Wings,,,,,,Chronopendel: Flügel,,,,
,,时灵摆·双生,Chrono Pendulum: Twins,,,,,,Chronopendel: Zwillinge,,,,
,,时灵摆·移涌,Chrono Pendulum: Surge,,,,,,Chronopendel: Schwall,,,,
,,时灵摆·不洁,Chrono Pendulum: Unclean,,,,,,Chronopendel: Dreckig,,,,
,,时灵摆·不眠,Chrono Pendulum: Sleepless,,,,,,Chronopendel: Schlaflos,,,,
,,时灵摆·投射,Chrono Pendulum: Projection,,,,,,Chronopendel: Projektion,,,,
,,时灵摆·衍化,Chrono Pendulum: Evolution,,,,,,Chronopendel: Evolution,,,,
,,受祝·噩梦表象β,Blessed: Nightmare Manifest β,,,,,,Gesegnet: Albtraummanifest β,,,,
,,受祝·虫群意识,Blessed: Swarm Mind,,,,,,Gesegnet: Schwarmintelligenz,,,,
,,受祝·厄运仪式鸟,Blessed: Omen Ritual Bird,,,,,,Gesegnet: Omen-Ritualvogel,,,,
,,受祝·意识铭刻β,Blessed: Mind Engraving β,,,,,,Gesegnet: Gedankengravur β,,,,
,,受祝·古怪钩爪,Blessed: Eerie Hook,,,,,,Gesegnet: Unheimlicher Haken,,,,
,,受祝·七鳃鳗之吻,Blessed: Lamprey Kiss,,,,,,Gesegnet: Neunaugenkuss,,,,
,,受祝·黑烛,Blessed: Black Candle,,,,,,Gesegnet: Schwarze Kerze,,,,
,,受祝·行道之骸,Blessed: Pathwalker's Remains,,,,,,Gesegnet: Überreste des Pfadläufers,,,,
,,群星之酒+,Stellar Brew+,,,,,,Hervorragendes Gebräu+,,,,
,,通讯设备+β,Signal Relay +β,,,,,,Signalrelais+β,,,,
,,日月轮盘+,Solar Disc+,,,,,,Sonnenscheibe+,,,,
,,祭司权杖+,Hierophant's Staff +,,,,,,Hierophantenstab+,,,,
,,褪色照片+,Faded Photo+,,,,,,Verblasstes Foto+,,,,
,,银白差分机,Differential Engine,,,,,,Differenzialmotor,,,,
,,群氓之歌+,Mob Song +,,,,,,Mob-Lied+,,,,
,,太阳,Sun,,,,,,Sonne,,,,
,,星星,Stars,,,,,,Sterne,,,,
,,春天,Spring,,,,,,Frühling,,,,
,,诗句,Verse,,,,,,Vers,,,,
,,蝴蝶,Butterfly,,,,,,Schmetterling,,,,
,,云朵,Cloud,,,,,,Wolke,,,,
,,风,Wind,,,,,,Wind,,,,
,,森林,Forest,,,,,,Wald,,,,
,,雪,Snow,,,,,,Schnee,,,,
,,花束,Bouquet,,,,,,Strauß,,,,
,,猫,Cat,,,,,,Katze,,,,
,,大地,Earth,,,,,,Erde,,,,
,,泉水,Spring Water,,,,,,Quellwasser,,,,
,,月亮,Moon,,,,,,Mond,,,,
,,献诗,Offering,,,,,,Angebot,,,,
,,极夜微光,Polar Dusklight,,,,,,Polares Dämmerungslicht,,,,
,,眩晕,Stun,,,,,,Betäuben,,,,
,,凝滞,Stagnation,,,,,,Stagnierung,,,,
,,凝视,Gaze,,,,,,Blick,,,,
,,亵渎,Desecrate,,,,,,Schändung,,,,
,,等待,The Vigil,,,,,,Die Nachtwache,,,,
,,寒气打击,Frost Strike,,,,,,Frostschlag,,,,
,,蜡油,Wax Oil,,,,,,Wachsöl,,,,
,,手术准备,Surgical Preparation,,,,,,Chirurgische Vorbereitung,,,,
,,手术切割,Surgical Cut,,,,,,Chirurgischer Schnitt,,,,
,,全体力量,Team Strength,,,,,,Teamstärke,,,,
,,毒素,Toxin,,,,,,Toxin,,,,
,,全体屏障,Team Barrier,,,,,,Teambarriere,,,,
,,创伤重击,Trauma Strike,,,,,,Trauma-Angriff,,,,
,,创伤猛击,Trauma Blow,,,,,,Trauma-Schlag,,,,
,,BOOM！,BOOM!,,,,,,BOOM!,,,,
,,冰盾打击,Frost Shield Strike,,,,,,Frostschildschlag,,,,
,,融蚀进化,Dissolution Evolution,,,,,,Auflösungsentwicklung,,,,
,,维度封锁,Dimensional Lock,,,,,,Dimensionssperre,,,,
,,垂死之挣,Death Throes,,,,,,Todeskampf,,,,
,,践踏,Trample,,,,,,Trampeln,,,,
,,连续撕咬,Continuous Bites,,,,,,Kontinuierliche Bisse,,,,
,,疯狂,Madness,,,,,,Wahnsinn,,,,
,,觉醒,Awaken,,,,,,Erwachen,,,,
,,维度雾气,Dimensional Mist,,,,,,Dimensionsnebel,,,,
,,深海呼唤,Deep Sea's Calling,,,,,,Der Ruf der Tiefsee,,,,
,,分裂,Split,,,,,,Spalten,,,,
,,维度空洞,Dimensional Void,,,,,,Dimensionsleere,,,,
,,远古的呼唤,Ancient Ones' Call,,,,,,Ruf der Uralten,,,,
,,狂气吸收,Aliemus Absorb,,,,,,Aliemus-Absorbierung,,,,
,,分裂打击,Split Strike,,,,,,Spaltschlag,,,,
,,全体强化,Team Enhance,,,,,,Teamverbesserung,,,,
,,维度分形,Dimensional Fractals,,,,,,Dimensionale Fraktale,,,,
,,维度之锁,Dimensional Lock,,,,,,Dimensionales Schloss,,,,
,,维度防壁,Dimensional Barrier,,,,,,Dimensionale Barriere,,,,
,,蜡像登场,Wax Sculpture Debuts,,,,,,Debüt der Wachsskulptur,,,,
,,隆重的接待,Grand Reception,,,,,,Großer Empfang,,,,
,,撕裂打击,Rending Strike,,,,,,Zerreißender Schlag,,,,
,,召唤和强化,Summon and Enhance,,,,,,Beschwören und verbessern,,,,
,,自毁攻击,Self-Destruct Attack,,,,,,Selbstzerstörungsangriff,,,,
,,回复,Healing,,,,,,Heilung,,,,
,,扭曲的死体狂宴-混沌,Twisted Carrion Revel - Chaos,,,,,,Verdrehtes Aasgelage - Chaos,,,,
,,扭曲的死体狂宴-深海,Twisted Carrion Revel - Aequor,,,,,,Verdrehtes Aasgelage - Aequor,,,,
,,扭曲的死体狂宴-血肉,Twisted Carrion Revel - Caro,,,,,,Verdrehtes Aasgelage - Caro,,,,
,,扭曲的死体狂宴-超维,Twisted Carrion Revel - Ultra,,,,,,Verdrehtes Aasgelage - Ultra,,,,
,,纷乱切割-躁狂,Frenzied Slash - Mania,,,,,,Wilder Hieb - Manie,,,,
,,纷乱切割,Frenzied Slash,,,,,,Wilder Hieb,,,,
,,异种共生,Symbiotic Aberration,,,,,,Symbiotische Abweichung,,,,
,,恍然如我,Am I or Am I Not?,,,,,,Bin ich oder bin ich nicht?,,,,
,,狂躁人格,Manic Personality,,,,,,Manische Persönlichkeit,,,,
,,灼燃蜡滴之欲,Wax-Hot Desire,,,,,,Wachsheiße Lust,,,,
,,狂气使役之鞭,Whip of Madness,,,,,,Peitsche des Wahnsinns,,,,
,,施与受,Give and Take,,,,,,Geben und nehmen,,,,
,,不灭之花,Eternal Flower,,,,,,Ewige Blume,,,,
,,黑沼禁域,Forbidden Swamp,,,,,,Verbotener Sumpf,,,,
,,粘液汇集,Slime Convergence,,,,,,Schleimkonvergenz,,,,
,,苦痛,Agony,,,,,,Qual,,,,
,,欢愉,Joy,,,,,,Freude,,,,
,,血,Blood,,,,,,Blut,,,,
,,苦痛与血,Agony and Blood,,,,,,Qual und Blut,,,,
,,欢愉与血,Pleasure and Blood,,,,,,Vergnügen und Blut,,,,
,,渴血者,Sanguivore,,,,,,Blutsauger,,,,
,,颅骨猛击,Cranial Storm,,,,,,Schädelsturm,,,,
,,愧意之海,Sea of Guilt,,,,,,Meer der Schuld,,,,
,,集结鼠群,Mice Assemble,,,,,,Mausversammlung,,,,
,,鼠群冲击,Swarm Impact,,,,,,Schwarmaufprall,,,,
,,布朗出动！,Get 'em! Brown!,,,,,,Hol sie dir! Brown!,,,,
,,致伤打击,Wounding Strike,,,,,,Verwundender Schlag,,,,
,,脆弱打击,Fragile Strike,,,,,,Zerbrechlicher Schlag,,,,
,,空间折叠,Spatial Fold,,,,,,Räumliche Falte,,,,
,,斩首重创,Decapitation Damage,,,,,,Enthauptungsschaden,,,,
,,强者为尊,Law of the Strongest,,,,,,Das Gesetz des Stärkeren,,,,
,,巨刃之威-血,Greatblade's Might - Blood,,,,,,Macht der Großklinge - Blut,,,,
,,巨刃之威-力,Greatblade's Might - Strength,,,,,,Macht der Großklinge - Stärke,,,,
,,巨刃之威-终,Greatblade's Might - Finale,,,,,,Macht der Großklinge - Finale,,,,
,,复仇预行,Preemptive Revenge,,,,,,Präventive Rache,,,,
,,凝滞诅咒,Stagnant Curse,,,,,,Stagnierender Fluch,,,,
,,小小愿望,A Small Wish,,,,,,Ein kleiner Wunsch,,,,
,,石质分解,Decomposition,,,,,,Zersetzung,,,,
,,真·万古之眸,Eye of Eternity EX,,,,,,Auge der Unendlichkeit EX,,,,
,,断念,Renunciation,,,,,,Verzicht,,,,
,,吸收,Absorb,,,,,,Absorbieren,,,,
,,呼唤,Call,,,,,,Ruf,,,,
,,残次品的怨念,Ire of the Flawed Creation,,,,,,Zorn der fehlerhaften Schöpfung,,,,
,,缝合品的狂怒,Fury of of the Stitched,,,,,,Wut der Genähten,,,,
,,狂怒,Fury,,,,,,Wut,,,,
,,牺牲,Sacrifice,,,,,,Opfergabe,,,,
,,恨意吞噬,Hate Devours,,,,,,Hass verschlingt,,,,
,,侵蚀之视,Gaze of Erosion,,,,,,Blick der Erosion,,,,
,,破链一击,Shattering Strike,,,,,,Zerschmetternder Schlag,,,,
,,捶打,Pound,,,,,,Hämmern,,,,
,,封印,Sealed,,,,,,Versiegelt,,,,
,,追猎,Pursuit,,,,,,Verfolgung,,,,
,,受惊,Startled,,,,,,Erschrocken,,,,
,,警戒,Alert,,,,,,Alarm,,,,
,,试探,Probe,,,,,,Sonde,,,,
,,撕咬,Bite,,,,,,Biss,,,,
,,目见母亲,Ad Matrem Vocatus,,,,,,Ad Matrem Vocatus,,,,
,,古老的爱抚,Ancient Caress,,,,,,Uralte Liebkosung,,,,
,,圣血的本能,Sacred Blood's Instinct,,,,,,Der Instinkt des heiligen Blutes,,,,
,,绵长恨怨,Lasting Loathe,,,,,,Dauerhafter Hass,,,,
,,全体护盾,Team Shield,,,,,,Teamschild,,,,
,,拥抱融蚀,Embrace Dissolution,,,,,,Umarmung der Auflösung,,,,
,,灯芯长明,Everlasting Flame,,,,,,Ewige Flamme,,,,
,,圣礼仪式,Rite of Sanctity,,,,,,Zeremonie der Heiligkeit,,,,
,,祈祷,Prayer,,,,,,Gebet,,,,
,,明灭,Flicker,,,,,,Flackern,,,,
,,永恒狂猎,Eternal Hunt,,,,,,Ewige Jagd,,,,
,,现世撕裂,Reality Sunder,,,,,,Realitätsriss,,,,
,,精神啃噬,Spirit Gnaw,,,,,,Geisternagen,,,,
,,异维瞪视,Interdimensional Glare,,,,,,Interdimensionaler Blick,,,,
,,丧钟遥鸣,Knell of Death,,,,,,Totenglocke,,,,
,,疾病缠身,Plaguebearer's Affliction,,,,,,Gebrechen des Seuchenbringers,,,,
,,沉逝苦海,Drowning in Sorrow,,,,,,Ertrinken in Trauer,,,,
,,初生之咒,Neonate's Hex,,,,,,Fluch des Neugeborenen,,,,
,,殉身,Martyrdom,,,,,,Martyrium,,,,
,,脆弱毒素,Toxin of Fragility,,,,,,Toxin der Zerbrechlichkeit,,,,
,,蛸吻,Cephalock,,,,,,Kopffüßer,,,,
,,蜕变,Metamorphosis,,,,,,Metamorphose,,,,
,,虔诚,Devotion,,,,,,Hingabe,,,,
,,标记猎物,Mark the Prey,,,,,,Markiere die Beute,,,,
,,礁化,Coralization,,,,,,Korallenbildung,,,,
,,珊瑚赘生,Coral Hyperplasia,,,,,,Korallenhyperplasie,,,,
,,加速礁化,Rapid Petrifaction,,,,,,Schnelle Versteinerung,,,,
,,深海洗礼,Abyssal Rite,,,,,,Abgrundzeremonie,,,,
,,离散,Discrete,,,,,,Diskret,,,,
,,恶诞,Grotesque,,,,,,Grotesk,,,,
,,孽诞,Spawn of Sin,,,,,,Brut der Sünde,,,,
,,吮吸,Suction,,,,,,Saugen,,,,
,,眷族！,Kins!,,,,,,Verwandte!,,,,
,,利莫里亚的荣光！,Glory of Lemuria!,,,,,,Ruhm von Lemuria!,,,,
,,无上生祭,Exalted Pyre,,,,,,Erhabener Scheiterhaufen,,,,
,,神眷之刃,Divine Edge,,,,,,Göttliche Schneide,,,,
,,应选之人,The Chosen One,,,,,,Der Auserwählte,,,,
,,召唤,Summon,,,,,,Beschwören,,,,
,,苦痛永存,Eternal Suffering,,,,,,Ewiges Leiden,,,,
,,献祭,Sacrifice Ritual,,,,,,Opferritual,,,,
,,癫狂打击,Frenzied Strike,,,,,,Wilder Schlag,,,,
,,血之灯,Blood Lantern,,,,,,Blutlaterne,,,,
,,双重啃咬,Double Gnaw,,,,,,Doppelnagen,,,,
,,症状：萎缩,Symptom: Atrophy,,,,,,Symptom: Atrophie,,,,
,,症状：恐怖,Symptom: Terror,,,,,,Symptom: Terror,,,,
,,融蚀,Dissolution,,,,,,Auflösung,,,,
,,维度穿行,Dimensional Traverse,,,,,,Dimensionsdurchquerung,,,,
,,被注视……！,Being Watched...!,,,,,,Beobachtet werden...!,,,,
,,维度闭锁,Dimension Lock,,,,,,Dimensionsschloss,,,,
,,晚期症状：暴虐,Late-Stage Symptom: Rage,,,,,,Spätsymptom: Wut,,,,
,,晚期症状：共感,Late-Stage Symptom: Symbiosis,,,,,,Spätsymptom: Symbiose,,,,
,,晚期症状：躁狂,Late-Stage Symptom: Frenzy,,,,,,Spätsymptom: Raserei,,,,
,,症状：妄想,Symptom: Delusion,,,,,,Symptom: Wahnvorstellung,,,,
,,症状：癫痫,Symptom: Epilepsy,,,,,,Symptom: Epilepsie,,,,
,,症状：疯狂,Symptom: Madness,,,,,,Symptom: Wahnsinn,,,,
,,症状：衰弱,Symptom: Weakness,,,,,,Symptom: Schwäche,,,,
,,症状：崩溃,Symptom: Breakdown,,,,,,Symptom: Zusammenbruch,,,,
,,症状：毁灭,Symptom: Destruction,,,,,,Symptom: Zerstörung,,,,
,,症状：痉挛,Symptom: Spasms,,,,,,Symptom: Krämpfe,,,,
,,症状：幽闭,Symptom: Claustrophobia,,,,,,Symptom: Klaustrophobie,,,,
,,症状：呓语,Symptom: Somniloquy,,,,,,Symptom: Somniloquie,,,,
,,症状：癔想,Symptom: Hysteria,,,,,,Symptom: Hysterie,,,,
,,症状：颓丧,Symptom: Despondency,,,,,,Symptom: Niedergeschlagenheit,,,,
,,症状：休克,Symptom: Shock,,,,,,Symptom: Schock,,,,
,,症状：谵妄,Symptom: Delirium,,,,,,Symptom: Delirium,,,,
,,症状：盲从,Symptom: Obedience,,,,,,Symptom: Gehorsamkeit,,,,
,,症状：多疑,Symptom: Suspicion,,,,,,Symptom: Verdacht,,,,
,,症状：兴奋,Symptom: Excitement,,,,,,Symptom: Aufgeregtheit,,,,
,,镇定之铃,Soothing Bell,,,,,,Beruhigende Glocke,,,,
,,迷惑,Confusion,,,,,,Verwirrung,,,,
,,渔叉,Barbed Trident,,,,,,Stacheliger Dreizack,,,,
,,阳伞,Parasol,,,,,,Sonnenschirm,,,,
,,美丽瞬间,Fleeting Beauty,,,,,,Flüchtige Schönheit,,,,
,,过往回声,Echoes of the Past,,,,,,Echos der Vergangenheit,,,,
,,毒性侵染,Toxic Infusion,,,,,,Giftige Infusion,,,,
,,毒性发作,Toxic Outbreak,,,,,,Giftiger Ausbruch,,,,
,,遗影回响,Echoes of Lost Shadows,,,,,,Echos verlorener Schatten,,,,
,,混沌充能,Chaos Charge,,,,,,Chaosladung,,,,
,,朊朊病毒,Prion Virus,,,,,,Prionenvirus,,,,
,,吸附,Adsorption,,,,,,Adsorption,,,,
,,固化,Solidify,,,,,,Verfestigen,,,,
,,无餍打击,Gluttonous Attack,,,,,,Gefräßiger Angriff,,,,
,,单向,One-way,,,,,,Einweg,,,,
,,集结,Assemble,,,,,,Versammeln,,,,
,,复苏之茧,Cocoon of Revival,,,,,,Kokon der Wiederbelebung,,,,
,,蛹化,Pupation,,,,,,Verpuppung,,,,
,,胚胎,Embryo,,,,,,Embryo,,,,
,,圣洁之子,Scion of Purity,,,,,,Nachkomme der Reinheit,,,,
,,超限链接,Overlimit Link,,,,,,Überlimit-Link,,,,
,,代行者之裁,Executor's Verdict,,,,,,Urteil des Vollstreckers,,,,
拉蒙娜,Ramona,防御,Defence,,,,,,Verteidigung,,,,
拉蒙娜,Ramona,第一哲学,First Doctrine,,,,,,Erste Doktrine,,,,
拉蒙娜,Ramona,女王之剑,Queen's Sword,,,,,,Schwert der Königin,,,,
拉蒙娜,Ramona,攻势推演,Assault Thesis,,,,,,Angriffsthese,,,,
环行·拉蒙娜,Ramona: Timeworn,熵增逆转,Entropy Undone,,,,,,Entropie rückgängig gemacht,,,,
环行·拉蒙娜,Ramona: Timeworn,命定之剑,Predetermined Strike,,,,,,Vorherbestimmter Schlag,,,,
环行·拉蒙娜,Ramona: Timeworn,超越之目,Sight Unbound,,,,,,Unbegrenzte Sicht,,,,
环行·拉蒙娜,Ramona: Timeworn,未来讴歌,Ode to Tomorrow,,,,,,Ode an morgen,,,,
环行·拉蒙娜,Ramona: Timeworn,轮回之庭,Rebirth Tribunal,,,,,,Wiedergeburtstribunal,,,,
奥吉尔,Ogier,不定壁垒,Unstable Barrier,,,,,,Instabile Barriere,,,,
奥吉尔,Ogier,穿刺之枪,Piercing Strike,,,,,,Durchbrechender Schlag,,,,
朵尔,Doll,灵肉两分,Flesh Detached,,,,,,Losgelöstes Gewebe,,,,
朵尔,Doll,外域手术,Outer Surgery,,,,,,Äußere Chirurgie,,,,
朵尔,Doll,等价交换,Equivalent Exchange,,,,,,Äquivalenter Austausch,,,,
熔毁·朵尔,Doll: Inferno,终点，真理与深渊之门,"Terminal, Gateway of Truth and Abyss",,,,,,"Terminal, Tor der Wahrheit und des Abgrunds",,,,
熔毁·朵尔,Doll: Inferno,灵魂瘟疫,Soulblight,,,,,,Seelenfäule,,,,
熔毁·朵尔,Doll: Inferno,自毁改造,Self-Destruct,,,,,,Selbstzerstörung,,,,
熔毁·朵尔,Doll: Inferno,宿命坍缩,Fate's Descent,,,,,,Schicksalsfall,,,,
熔毁·朵尔,Doll: Inferno,虚无终结,Illusion's End,,,,,,Das Ende der Illusion,,,,
熔毁·朵尔,Doll: Inferno,兴奋,Elation,,,,,,Begeisterung,,,,
熔毁·朵尔,Doll: Inferno,诅咒,Curse,,,,,,Fluch,,,,
熔毁·朵尔,Doll: Inferno,自毁改造·终末,Self-Destruct: Finale,,,,,,Selbstzerstörung: Finale,,,,
熔毁·朵尔,Doll: Inferno,宿命坍缩·终末,Fate's Descent: Finale,,,,,,Abstieg des Schicksals: Finale,,,,
雷娅,Leigh,苦痛与欢愉,Pain and Pleasure,,,,,,Schmerz und Vergnügen,,,,
尤乌哈希,Uvhash,红祭礼,Vermilion Rite,,,,,,Zinnoberrote Zeremonie,,,,
尤乌哈希,Uvhash,沸腾吧，血！,"Boil, Blood!",,,,,,"Koch, Blut!",,,,
尤乌哈希,Uvhash,尖啸吧，血！,"Screech, Blood!",,,,,,"Kreisch, Blut!",,,,
希洛,Helot,不规则形态,Irregular Form,,,,,,Unregelmäßige Form,,,,
泰旖丝,Thais,恐惧之血,Blood of Fear,,,,,,Blut der Angst,,,,
泰旖丝,Thais,溃烂之血,Blood of Decay,,,,,,Blut des Verfalls,,,,
泰旖丝,Thais,生殖之血,Blood of Coition,,,,,,Blut des Koitus,,,,
萨尔瓦多,Salvador,「赐福」,Benediction,,,,,,Segen,,,,
萨尔瓦多,Salvador,受祝骨血,Blessed are the Bones,,,,,,Gesegnet seien die Knochen,,,,
